#Fish, time, latitude, longitude, weight, length, method, winddirection, windstrength, cloudcover, temperature, airpressure, moonphase
Havoerred, 1638692920, 55.9531738665732, 11.777542500892526, 1500, 80, Blinker
Hornfisk, 1638692920, 55.95277757933213, 11.77565405661914, 800, 60, Blinker
Havoerred, 1638692920, 55.97333929970472, 11.768487365012358, 1200, 70, Blinker
Hornfisk, 1638692920, 55.95277757933213, 11.77565405661914, 1000, 70, Blinker
Sild, 1638692920, 55.94995411136036, 11.788389354395306, 200, 20, Blinker
Sild, 1638672920, 55.94995411136036, 11.788389354395306, 200, 20, Blinker
Fladfisk, 1638692920, 55.97209052512693, 11.763852507594212, 500, 30, Blinker
Makrel, 1638692920, 55.953822590803654, 11.782585054102084, 800, 50, Blinker
Makrel, 1638692920, 55.95311379896495, 11.777242093467278, 700, 45, Blinker
Havoerred, 1638692920, 55.97256021799433, 11.366924619019585, 2000, 80, Fladfisk forefang
Havoerred, 1638692920, 55.09750167685203, 10.080021177140884, 1500, 70, Blinker med Pattegris
Havoerred, 1638692920, 55.097949593904055, 10.08083662258959, 1400, 65, Blinker med Pattegris
Havoerred, 1638692920, 55.1089593099656, 10.096721499720593, 1300, 60, Blinker med Pattegris
